District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
ELIZABETH FORWARD SD,Pennsylvania,4209090,2350,39097000,20870000,17366000,861000,41130000,16637,8881,7390,366
BLAIR COMMUNITY SCHOOLS,Nebraska,3104100,2349,26805000,21114000,4256000,1435000,24526000,11411,8989,1812,611
MILFORD SCHOOL DISTRICT,New Hampshire,3304830,2349,37745000,24827000,11184000,1734000,36851000,16069,10569,4761,738
SEYMOUR COMMUNITY SCHOOL DISTRICT,Wisconsin,5513530,2349,29646000,8749000,18956000,1941000,28582000,12621,3725,8070,826
WAGONER,Oklahoma,4031350,2349,18199000,5300000,10892000,2007000,18581000,7748,2256,4637,854
CHINO VALLEY UNIFIED DISTRICT,Arizona,400003,2348,17544000,8466000,6366000,2712000,17362000,7472,3606,2711,1155
SWEET HOME SD 55,Oregon,4111970,2348,25411000,6514000,16539000,2358000,24161000,10822,2774,7044,1004
PAYSON UNIFIED DISTRICT,Arizona,406070,2347,21588000,13046000,5638000,2904000,19630000,9198,5559,2402,1237
JEFFERSON ELEMENTARY,California,618840,2346,24101000,5804000,17330000,967000,30971000,10273,2474,7387,412
LUCERNE VALLEY UNIFIED,California,600015,2346,13180000,4131000,7734000,1315000,11288000,5618,1761,3297,561
GLASGOW INDEPENDENT,Kentucky,2102220,2345,26076000,6822000,15889000,3365000,23729000,11120,2909,6776,1435
RIDGELAND SD 122,Illinois,1733690,2345,38233000,23518000,12412000,2303000,37733000,16304,10029,5293,982
RSU 22,Maine,2314815,2345,33705000,11747000,20487000,1471000,30725000,14373,5009,8736,627
FRANKTON-LAPEL COMMUNITY SCHOOLS,Indiana,1812880,2344,33057000,9585000,22014000,1458000,23993000,14103,4089,9392,622
ASBURY PARK SCHOOL DISTRICT,New Jersey,3400930,2343,87531000,8072000,74067000,5392000,86674000,37359,3445,31612,2301
SPRINGFIELD TOWNSHIP SD,Pennsylvania,4222620,2343,52509000,42926000,8641000,942000,49940000,22411,18321,3688,402
WOODLAND SCHOOL DISTRICT,Washington,5310050,2342,33315000,10870000,20705000,1740000,32865000,14225,4641,8841,743
GRIFFITH PUBLIC SCHOOLS,Indiana,1804170,2341,25985000,7368000,17666000,951000,22770000,11100,3147,7546,406
SHAMOKIN AREA SD,Pennsylvania,4221240,2341,29457000,8165000,18939000,2353000,33713000,12583,3488,8090,1005
WELD COUNTY SCHOOL DISTRICT RE-3J,Colorado,804920,2341,26703000,25052000,664000,987000,22890000,11407,10701,284,422
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,200150,2340,42426000,9363000,30715000,2348000,40414000,18131,4001,13126,1003
CASEY COUNTY,Kentucky,2101050,2339,27343000,3907000,19239000,4197000,24943000,11690,1670,8225,1794
GORMAN JOINT,California,615600,2339,1643000,611000,992000,40000,1309000,702,261,424,17
MADISONVILLE CISD,Texas,4828710,2339,23879000,11574000,10035000,2270000,26081000,10209,4948,4290,971
MELISSA ISD,Texas,4830120,2338,26536000,12412000,13418000,706000,27425000,11350,5309,5739,302
WOLCOTT SCHOOL DISTRICT,Connecticut,905280,2338,43257000,21807000,20051000,1399000,41468000,18502,9327,8576,598
JACKSON COUNTY,Kentucky,2102940,2337,28205000,3492000,20261000,4452000,26949000,12069,1494,8670,1905
RSU 09,Maine,2314809,2337,36990000,13937000,20730000,2323000,32756000,15828,5964,8870,994
MALONE CENTRAL SCHOOL DISTRICT,New York,3618180,2334,50965000,12187000,36121000,2657000,58773000,21836,5222,15476,1138
ROANE COUNTY SCHOOLS,West Virginia,5401320,2334,22672000,3375000,16469000,2828000,22821000,9714,1446,7056,1212
UNION,Florida,1201890,2334,21295000,3133000,15544000,2618000,21099000,9124,1342,6660,1122
PRENTISS CO SCHOOL DIST,Mississippi,2803750,2333,22079000,4718000,14037000,3324000,21137000,9464,2022,6017,1425
STANISLAUS COUNTY OFFICE OF EDUCATION,California,691041,2332,206014000,85748000,70942000,49324000,195805000,88342,36770,30421,21151
TEXAS LEADERSHIP,Texas,4801409,2332,21879000,940000,19616000,1323000,17912000,9382,403,8412,567
CONNALLY ISD,Texas,4814970,2331,24925000,8013000,12663000,4249000,22861000,10693,3438,5432,1823
GREENWOOD ISD,Texas,4821750,2331,24928000,21137000,3128000,663000,40086000,10694,9068,1342,284
ROSS VALLEY ELEMENTARY,California,600006,2330,31755000,20513000,10514000,728000,29701000,13629,8804,4512,312
MIDDLETOWN AREA SD,Pennsylvania,4215240,2329,44567000,28103000,14854000,1610000,57704000,19136,12067,6378,691
NORTHERN WELLS COMMUNITY SCHOOLS,Indiana,1808220,2329,26421000,7893000,17782000,746000,23248000,11344,3389,7635,320
MAYSVILLE LOCAL,Ohio,3904885,2328,24187000,8962000,12295000,2930000,23169000,10390,3850,5281,1259
FLEMING COUNTY,Kentucky,2101920,2327,26327000,4356000,17346000,4625000,24450000,11314,1872,7454,1988
EAST BRIDGEWATER,Massachusetts,2504440,2325,32855000,17836000,13983000,1036000,30236000,14131,7671,6014,446
FORREST COUNTY SCHOOL DISTRICT,Mississippi,2801490,2325,24161000,8180000,11891000,4090000,22510000,10392,3518,5114,1759
ROCHESTER CUSD 3A,Illinois,1734320,2322,25999000,13201000,11591000,1207000,26163000,11197,5685,4992,520
FLOSSMOOR SD 161,Illinois,1715420,2321,37791000,24355000,11887000,1549000,36678000,16282,10493,5121,667
MENDON-UPTON,Massachusetts,2507680,2321,42883000,23806000,17989000,1088000,36811000,18476,10257,7751,469
CESAR CHAVEZ ACADEMY,Michigan,2600139,2319,22670000,595000,18752000,3323000,22247000,9776,257,8086,1433
WESTONKA PUBLIC SCHOOL DISTRICT,Minnesota,2722920,2319,35170000,15747000,18306000,1117000,32729000,15166,6790,7894,482
DICKENSON CO PBLC SCHS,Virginia,5101140,2318,24732000,7691000,14469000,2572000,25208000,10670,3318,6242,1110
LAKEWOOD SCHOOL DISTRICT,Washington,5304260,2318,31178000,11440000,18567000,1171000,49980000,13450,4935,8010,505
MCHENRY CHSD 156,Illinois,1725320,2318,42273000,28247000,12997000,1029000,37057000,18237,12186,5607,444
NEWBURYPORT,Massachusetts,2508580,2317,45097000,35420000,8487000,1190000,47806000,19464,15287,3663,514
SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,New York,3626840,2317,65266000,49796000,14856000,614000,70746000,28168,21492,6412,265
SPRINGFIELD PUBLIC SCHOOL DISTRICT,New Jersey,3415630,2317,47394000,40987000,5618000,789000,45753000,20455,17690,2425,341
AUBREY ISD,Texas,4808910,2316,23885000,12447000,10817000,621000,20457000,10313,5374,4671,268
PENNSYLVANIA VIRTUAL CS,Pennsylvania,4200088,2316,30054000,29225000,182000,647000,28307000,12977,12619,79,279
POTOSI R-III,Missouri,2925500,2316,23609000,7483000,13295000,2831000,22160000,10194,3231,5741,1222
BATAVIA CITY SCHOOL DISTRICT,New York,3603990,2315,45585000,17525000,25454000,2606000,48945000,19691,7570,10995,1126
WEBSTER COUNTY,Kentucky,2105820,2315,23334000,5062000,15567000,2705000,21486000,10079,2187,6724,1168
CARRIZO SPRINGS CISD,Texas,4812990,2314,76801000,70650000,2536000,3615000,80850000,33190,30532,1096,1562
IROQUOIS CENTRAL SCHOOL DISTRICT,New York,3615360,2314,46530000,28115000,17325000,1090000,45074000,20108,12150,7487,471
CLINTON,Oklahoma,4008070,2313,21495000,6223000,12186000,3086000,20194000,9293,2690,5268,1334
MOBERLY,Missouri,2921100,2313,26443000,14166000,9713000,2564000,25305000,11432,6125,4199,1109
DELAVAN-DARIEN SCHOOL DISTRICT,Wisconsin,5503640,2312,33824000,17313000,14046000,2465000,36042000,14630,7488,6075,1066
FALLBROOK UNION HIGH,California,613530,2312,34852000,15324000,16038000,3490000,32593000,15074,6628,6937,1510
SEQUATCHIE COUNTY,Tennessee,4703750,2312,21133000,5475000,12492000,3166000,19048000,9141,2368,5403,1369
PLAINFIELD SCHOOL DISTRICT,Connecticut,903270,2311,43381000,19443000,22214000,1724000,43406000,18772,8413,9612,746
BOAZ CITY,Alabama,100012,2310,22813000,6983000,13373000,2457000,22413000,9876,3023,5789,1064
BRUNSWICK PUBLIC SCHOOLS,Maine,2303780,2310,41537000,27293000,12685000,1559000,36562000,17981,11815,5491,675
DASSEL-COKATO PUBLIC SCHOOL DIST.,Minnesota,2710060,2309,24530000,3931000,19705000,894000,24802000,10624,1702,8534,387
BUHLER,Kansas,2004200,2308,26524000,9273000,16377000,874000,33622000,11492,4018,7096,379
PEARSALL ISD,Texas,4834470,2308,27404000,20428000,2762000,4214000,24722000,11873,8851,1197,1826
BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,New York,3604110,2305,67595000,44595000,22034000,966000,66672000,29325,19347,9559,419
PERRY CO. 32,Missouri,2924530,2299,23282000,14717000,6576000,1989000,22650000,10127,6401,2860,865
BEAR VALLEY UNIFIED,California,604230,2296,34085000,16873000,15208000,2004000,28064000,14845,7349,6624,873
EMERY DISTRICT,Utah,4900270,2296,26352000,14208000,10509000,1635000,25933000,11477,6188,4577,712
NORTH SANTIAM SD 29J,Oregon,4100020,2296,24795000,9328000,13631000,1836000,25433000,10799,4063,5937,800
NORTHERN LEBANON SD,Pennsylvania,4217640,2295,35669000,20965000,13713000,991000,34536000,15542,9135,5975,432
SCHOOL DISTRICT NO. RE-1 VALLEY,Colorado,806690,2295,24053000,11132000,11194000,1727000,23600000,10481,4851,4878,753
WHITEVILLE CITY SCHOOLS,North Carolina,3704920,2295,22821000,4105000,14850000,3866000,23238000,9944,1789,6471,1685
AMESBURY,Massachusetts,2501860,2294,38776000,23716000,13712000,1348000,36309000,16903,10338,5977,588
APPOMATTOX CO PBLC SCHS,Virginia,5100240,2294,21158000,6166000,13395000,1597000,21070000,9223,2688,5839,696
BELLINGHAM,Massachusetts,2502460,2294,42636000,27071000,14315000,1250000,39479000,18586,11801,6240,545
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,3402160,2294,48148000,41994000,5576000,578000,45821000,20989,18306,2431,252
AUGUSTA,Kansas,2003630,2293,23804000,5081000,17805000,918000,22397000,10381,2216,7765,400
DOS PALOS ORO LOMA JOINT UNIFIED,California,600033,2293,30491000,5881000,21359000,3251000,26367000,13297,2565,9315,1418
HILMAR UNIFIED,California,617220,2291,26047000,6444000,17623000,1980000,24228000,11369,2813,7692,864
ROBINSON ISD,Texas,4837410,2291,23823000,8937000,13438000,1448000,36601000,10399,3901,5866,632
RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3413560,2290,60665000,53956000,6071000,638000,58018000,26491,23562,2651,279
BRISTOL CITY PBLC SCHS,Virginia,5100450,2289,27035000,8068000,15641000,3326000,26290000,11811,3525,6833,1453
DEMOPOLIS CITY,Alabama,101200,2289,19779000,5141000,12518000,2120000,19572000,8641,2246,5469,926
ELWOOD UNION FREE SCHOOL DISTRICT,New York,3610680,2289,60133000,40455000,18651000,1027000,57528000,26270,17674,8148,449
POLK COUNTY SCHOOLS,North Carolina,3703720,2289,27820000,7826000,16847000,3147000,28969000,12154,3419,7360,1375
EAST PORTER COUNTY SCHOOL CORP,Indiana,1809000,2288,28498000,10259000,17692000,547000,24019000,12455,4484,7733,239
CASCADE SD 5,Oregon,4102780,2287,25055000,8026000,15417000,1612000,24852000,10955,3509,6741,705
LA MARQUE ISD,Texas,4826160,2287,28267000,19308000,3475000,5484000,25561000,12360,8443,1519,2398
MIDDLETOWN,Rhode Island,4400630,2287,40211000,26003000,10942000,3266000,39517000,17582,11370,4784,1428
SPRINGFIELD LOCAL,Ohio,3905006,2287,32613000,18547000,12106000,1960000,29221000,14260,8110,5293,857
CLEARFIELD AREA SD,Pennsylvania,4206150,2286,37710000,15943000,19756000,2011000,36113000,16496,6974,8642,880
FORT MADISON COMM SCHOOL DISTRICT,Iowa,1911850,2285,26660000,8881000,16125000,1654000,25450000,11667,3887,7057,724
SEAFORD UNION FREE SCHOOL DISTRICT,New York,3626400,2285,69313000,49545000,18925000,843000,62659000,30334,21683,8282,369
SO. CONWAY CO. SCHOOL DISTRICT,Arkansas,512520,2285,25055000,9756000,12839000,2460000,25361000,10965,4270,5619,1077
DOWAGIAC UNION SCHOOL DISTRICT,Michigan,2612150,2283,23666000,7001000,14480000,2185000,23403000,10366,3067,6343,957
LEWIS COUNTY,Kentucky,2103390,2283,23967000,3353000,17050000,3564000,23948000,10498,1469,7468,1561
MONAHANS-WICKETT-PYOTE ISD,Texas,4831170,2283,28255000,25515000,1288000,1452000,27542000,12376,11176,564,636
BEXLEY CITY,Ohio,3904362,2282,38181000,29402000,7873000,906000,37469000,16731,12884,3450,397
COLCHESTER SCHOOL DISTRICT,Vermont,5003240,2282,38834000,1816000,35554000,1464000,38579000,17018,796,15580,642
EAST CLEVELAND CITY SCHOOL DISTRICT,Ohio,3904390,2282,49224000,13570000,29565000,6089000,57862000,21571,5947,12956,2668
GENEVA CITY SCHOOL DISTRICT,New York,3611970,2282,57243000,16700000,34711000,5832000,54196000,25085,7318,15211,2556
NORWICH FREE ACADEMY,Connecticut,905371,2282,1870000,1127000,66000,677000,12230000,819,494,29,297
CLAYTON,Missouri,2909720,2280,55550000,52221000,1690000,1639000,53767000,24364,22904,741,719
LOGAN-ROGERSVILLE R-VIII,Missouri,2919170,2280,24932000,13844000,8457000,2631000,23739000,10935,6072,3709,1154
BLYTHEVILLE SCHOOL DISTRICT,Arkansas,503320,2278,27795000,7483000,15784000,4528000,27128000,12201,3285,6929,1988
PLYMOUTH JOINT SCHOOL DISTRICT,Wisconsin,5511940,2278,28325000,14599000,12495000,1231000,26681000,12434,6409,5485,540
WYOMING AREA SD,Pennsylvania,4226730,2278,33596000,17978000,14401000,1217000,33491000,14748,7892,6322,534
CENTRAL VALLEY SD,Pennsylvania,4200824,2277,33348000,17977000,14624000,747000,33968000,14646,7895,6422,328
WOODLAKE UNIFIED,California,601418,2277,32698000,5709000,23558000,3431000,30089000,14360,2507,10346,1507
BARNWELL 45,South Carolina,4501080,2275,25201000,6132000,14176000,4893000,25137000,11077,2695,6231,2151
CLYDE-GREEN SPRINGS EXEMPTED VILLAGE,Ohio,3910020,2275,26903000,11458000,13651000,1794000,25879000,11825,5036,6000,789
LEMOORE UNION HIGH,California,621400,2275,29805000,6722000,21601000,1482000,25700000,13101,2955,9495,651
INGLESIDE ISD,Texas,4824180,2274,24137000,20434000,1917000,1786000,26444000,10614,8986,843,785
FENTRESS COUNTY,Tennessee,4701230,2271,21372000,4131000,13892000,3349000,21024000,9411,1819,6117,1475
METUCHEN PUBLIC SCHOOL DISTRICT,New Jersey,3409990,2271,42688000,36198000,5468000,1022000,40172000,18797,15939,2408,450
PONTOTOC CITY SCHOOLS,Mississippi,2803690,2271,19374000,4871000,12175000,2328000,19346000,8531,2145,5361,1025
SWAMPSCOTT,Massachusetts,2511430,2271,43414000,34706000,7651000,1057000,41113000,19117,15282,3369,465
ROYAL ISD,Texas,4838190,2270,28944000,16708000,9270000,2966000,27842000,12751,7360,4084,1307
RABUN COUNTY,Georgia,1304320,2268,35945000,25280000,7408000,3257000,32183000,15849,11146,3266,1436
SCREVEN COUNTY,Georgia,1304500,2268,24215000,8553000,12666000,2996000,22641000,10677,3771,5585,1321
WEATHERFORD,Oklahoma,4032070,2268,18474000,8237000,8876000,1361000,22841000,8146,3632,3914,600
ELGIN,Oklahoma,4010710,2267,18378000,6392000,9724000,2262000,18552000,8107,2820,4289,998
FIREBAUGH-LAS DELTAS UNIFIED,California,613840,2266,33219000,6625000,22963000,3631000,30781000,14660,2924,10134,1602
OTSEGO PUBLIC SCHOOLS,Michigan,2627060,2266,24538000,6753000,17139000,646000,22461000,10829,2980,7564,285
CAMDEN CENTRAL SCHOOL DISTRICT,New York,3606240,2265,48070000,9591000,36535000,1944000,47295000,21223,4234,16130,858
DANVILLE AREA SD,Pennsylvania,4207320,2264,38157000,22507000,13816000,1834000,39542000,16854,9941,6102,810
PORTSMOUTH SCHOOL DISTRICT,New Hampshire,3305820,2263,47561000,32576000,12530000,2455000,47590000,21017,14395,5537,1085
SAULT STE. MARIE AREA SCHOOLS,Michigan,2630990,2262,23963000,6901000,15334000,1728000,28925000,10594,3051,6779,764
UNION COUNTY,Kentucky,2105640,2261,25275000,7910000,14639000,2726000,25124000,11179,3498,6475,1206
REGIONAL SCHOOL DISTRICT 16,Connecticut,903538,2259,48627000,28057000,19791000,779000,45803000,21526,12420,8761,345
ALLEGHANY CO PBLC SCHS,Virginia,5100152,2258,28708000,11902000,14784000,2022000,27552000,12714,5271,6547,895
RUSSELL INDEPENDENT,Kentucky,2105130,2258,23062000,7698000,13628000,1736000,23847000,10213,3409,6035,769
RSU 35/MSAD 35,Maine,2311370,2257,33746000,18177000,14631000,938000,30740000,14952,8054,6482,416
SHELLEY JOINT DISTRICT,Idaho,1602910,2256,14626000,2124000,11145000,1357000,13261000,6483,941,4940,602
SYLACAUGA CITY,Alabama,103120,2256,22318000,6468000,13419000,2431000,30634000,9893,2867,5948,1078
BIENVILLE PARISH,Louisiana,2200210,2255,36180000,25754000,7196000,3230000,36335000,16044,11421,3191,1432
SWEETWATER ISD,Texas,4842030,2255,25541000,10552000,10657000,4332000,23627000,11326,4679,4726,1921
HARDIN-JEFFERSON ISD,Texas,4822410,2254,22131000,11482000,8527000,2122000,20065000,9819,5094,3783,941
ISLAND TREES UNION FREE SCHOOL DISTRICT,New York,3615510,2254,59730000,37542000,21178000,1010000,59256000,26500,16656,9396,448
MARCUM-ILLINOIS UNION ELEMENTARY,California,623800,2254,2917000,948000,1898000,71000,2551000,1294,421,842,31
NOTTOWAY CO PBLC SCHS,Virginia,5102790,2254,23572000,5788000,15194000,2590000,23063000,10458,2568,6741,1149
FRESNO COUNTY OFFICE OF EDUCATION,California,691007,2253,172682000,47621000,87861000,37200000,170747000,76645,21137,38997,16511
HARVEY SD 152,Illinois,1718450,2249,32254000,4492000,23339000,4423000,34304000,14341,1997,10378,1967
KING WILLIAM CO PBLC SCHS,Virginia,5102120,2246,26445000,11860000,13205000,1380000,23259000,11774,5280,5879,614
MONTVILLE SCHOOL DISTRICT,Connecticut,902580,2245,45896000,25358000,19082000,1456000,45394000,20444,11295,8500,649
BATAVIA LOCAL,Ohio,3904630,2244,29440000,15163000,11999000,2278000,38175000,13119,6757,5347,1015
REGIONAL SCHOOL DISTRICT 05,Connecticut,903660,2244,52233000,45209000,6418000,606000,49022000,23277,20147,2860,270
YORKTOWN COMMUNITY SCHOOLS,Indiana,1807230,2244,24350000,6211000,17246000,893000,20635000,10851,2768,7685,398
ARGYLE ISD,Texas,4808670,2243,28866000,24032000,4537000,297000,52371000,12869,10714,2023,132
RICE LAKE AREA SCHOOL DISTRICT,Wisconsin,5512810,2243,30120000,16977000,11319000,1824000,30844000,13428,7569,5046,813
WAYNE CENTRAL SCHOOL DISTRICT,New York,3630330,2242,44585000,24556000,18871000,1158000,45981000,19886,10953,8417,517
KELLOGGSVILLE PUBLIC SCHOOLS,Michigan,2620160,2241,26851000,7862000,16194000,2795000,28759000,11982,3508,7226,1247
NORRIS SCHOOL DIST 160,Nebraska,3100088,2241,25055000,16727000,7613000,715000,23719000,11180,7464,3397,319
SOUTH RIVER PUBLIC SCHOOL DISTRICT,New Jersey,3415390,2241,36045000,17206000,16761000,2078000,36229000,16084,7678,7479,927
CRENSHAW COUNTY,Alabama,100960,2239,21294000,5261000,13343000,2690000,21222000,9510,2350,5959,1201
LYNNFIELD,Massachusetts,2507140,2239,39141000,30398000,7711000,1032000,36954000,17481,13577,3444,461
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,802070,2237,22797000,6653000,13868000,2276000,22039000,10191,2974,6199,1017
HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,New York,3614700,2237,47508000,27287000,19159000,1062000,45294000,21237,12198,8565,475
GREATER NANTICOKE AREA SD,Pennsylvania,4216290,2236,27778000,8683000,17058000,2037000,27914000,12423,3883,7629,911
BLAINE SCHOOL DISTRICT,Washington,5300570,2235,30114000,11444000,17003000,1667000,35256000,13474,5120,7608,746
GOFFSTOWN SCHOOL DISTRICT,New Hampshire,3303240,2235,40766000,28355000,10918000,1493000,38239000,18240,12687,4885,668
SPEARFISH SCHOOL DISTRICT 40-2,South Dakota,4666930,2235,20913000,14172000,5068000,1673000,19732000,9357,6341,2268,749
GALT JOINT UNION HIGH,California,614820,2234,32144000,8995000,21535000,1614000,30348000,14389,4026,9640,722
PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT,New Jersey,3412840,2233,43692000,13553000,26764000,3375000,47161000,19567,6069,11986,1511
SAVANNAH R-III,Missouri,2927570,2233,21931000,11086000,9407000,1438000,19961000,9821,4965,4213,644
LAKELAND SCHOOL CORPORATION,Indiana,1805520,2232,23655000,5543000,16749000,1363000,23881000,10598,2483,7504,611
WASHINGTON COURT HOUSE CITY,Ohio,3910011,2232,25531000,7303000,16147000,2081000,21951000,11439,3272,7234,932
DORCHESTER 04,South Carolina,4500002,2231,31440000,12743000,15312000,3385000,36765000,14092,5712,6863,1517
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,New York,3618600,2230,44352000,20197000,22319000,1836000,39821000,19889,9057,10009,823
MOUNT PROSPECT SD 57,Illinois,1727210,2229,29328000,20019000,8416000,893000,31935000,13157,8981,3776,401
NEW PALTZ CENTRAL SCHOOL DISTRICT,New York,3620460,2229,56481000,38952000,16443000,1086000,55233000,25339,17475,7377,487
WEST HOLMES LOCAL,Ohio,3904769,2229,26763000,12423000,12021000,2319000,24603000,12007,5573,5393,1040
RANDOLPH COUNTY,Alabama,102820,2228,21531000,5776000,13280000,2475000,23702000,9664,2592,5961,1111
CARPINTERIA UNIFIED,California,607560,2227,33724000,25760000,5804000,2160000,31937000,15143,11567,2606,970
GOVERNOR WENTWORTH REG SCHOOL DISTRICT,New Hampshire,3303330,2227,46439000,27742000,16506000,2191000,44728000,20853,12457,7412,984
